iteration,learning_rate,last_perf,last_perf_cap,min_perf,time
in,in,out,out,out,out
int,float,float,float,float,float
365,0.002857143,1.361487031,1.361487031,1.242888784,53.273484
366,0.002857143,1.361487031,1.361487031,1.242888784,56.742279
367,0.003,1.330431592,1.330431592,1.22741996,52.505325
368,0.003142857,1.346710467,1.346710467,1.210417211,58.052335
369,0.003285714,1.280796909,1.280796909,1.166788459,58.411589
370,0.003428571,1.252832186,1.252832186,1.174992633,57.135972
371,0.003571429,1.187906945,1.187906945,1.110292125,59.685832
372,0.003714286,1.213953638,1.213953638,1.131585145,57.194558
373,0.003857143,1.271318042,1.271318042,1.181867206,58.032141
374,0.004,1.455039847,1.455039847,1.334286737,53.955838
375,0.004142857,1.252020812,1.252020812,1.130519402,57.434027
376,0.004285714,1.21590426,1.21590426,1.102119195,60.378336
377,0.004285714,1.21590426,1.21590426,1.102119195,61.445203
378,0.004428571,1.334564745,1.334564745,1.182230568,58.866055
379,0.004571429,1.260988343,1.260988343,1.163706338,136.395502
380,0.004714286,1.231324005,1.231324005,1.169599915,55.959653
381,0.004857143,1.121394598,1.121394598,1.023381805,54.093458
382,0.005,1.143702996,1.143702996,1.089633584,61.738616
383,0.005142857,1.180438423,1.180438423,1.076419628,55.091181
384,0.005285714,1.218630123,1.218630123,1.114833498,55.795736
385,0.005428571,1.149899626,1.149899626,1.051970923,64.441986
386,0.005571429,1.198645222,1.198645222,1.142216575,59.432992
387,0.005714286,1.225889742,1.225889742,1.139437711,61.981685
388,0.005714286,1.225889742,1.225889742,1.139437711,65.740574
389,0.005857143,1.240689981,1.240689981,1.166963267,56.862241
390,0.006,1.290834033,1.290834033,1.148770344,55.151814
391,0.006142857,1.343794751,1.343794751,1.241555798,58.780082
392,0.006285714,1.291904485,1.291904485,1.17755729,56.577546
393,0.006428571,1.309335256,1.309335256,1.203660345,53.806932
394,0.006571429,1.219860625,1.219860625,1.132940519,57.281038
395,0.006714286,1.289820194,1.289820194,1.138452601,54.056377
396,0.006857143,1.26506865,1.26506865,1.149385095,55.600894
397,0.007,1.277850151,1.277850151,1.162809551,55.107395
398,0.007142857,1.309574711,1.309574711,1.206365132,56.031544
399,0.007142857,1.309574711,1.309574711,1.206365132,55.936869
400,0.007285714,1.242074156,1.242074156,1.155036438,56.280002
401,0.007428571,1.296690059,1.296690059,1.169226325,76.441492
402,0.007571429,1.261946118,1.261946118,1.145777667,54.940511
403,0.007714286,1.40057621,1.40057621,1.270676744,53.94832
404,0.007857143,1.361141717,1.361141717,1.285395801,56.199548
405,0.008,1.274065423,1.274065423,1.165519273,58.246364
406,0.008142857,1.174425876,1.174425876,1.115489352,53.31813
407,0.008285714,1.237029946,1.237029946,1.1738343,56.286129
408,0.008428571,1.29451189,1.29451189,1.135896802,55.87643
409,0.008571429,1.316544366,1.316544366,1.149826241,55.851538
410,0.008571429,1.316544366,1.316544366,1.149826241,51.775209
411,0.008714286,1.283148575,1.283148575,1.087570381,60.582919
412,0.008857143,1.256833565,1.256833565,1.129396522,58.600876
413,0.009,1.247191572,1.247191572,1.120865226,56.415102
414,0.009142857,1.405224133,1.405224133,1.216154897,58.803672
415,0.009285714,1.285592723,1.285592723,1.15210005,61.840171
416,0.009428571,1.361470485,1.361470485,1.190199184,55.24799
417,0.009571429,1.38852942,1.38852942,1.270288014,52.080313
418,0.009714286,1.285272384,1.285272384,1.192929435,52.430596
419,0.009857143,1.374740863,1.374740863,1.18019501,52.550115
420,0.01,1.439006162,1.439006162,1.252364457,52.579454
421,0.011428571,1.539704621,1.539704621,1.347732258,53.124663
422,0.012857143,1.459697628,1.459697628,1.25291214,64.297172
423,0.014285714,1.605439782,1.605439782,1.1894732,49.643463
424,0.014285714,1.605439782,1.605439782,1.1894732,56.017068
425,0.015714286,1.959731627,1.959731627,1.539565301,51.018281
426,0.017142857,1.54777143,1.54777143,1.222388113,53.627154
427,0.018571429,1.787810206,1.787810206,1.596173358,47.92929
428,0.02,1.808264375,1.808264375,1.501357877,49.040246
