iteration,seed,last_activation,last_perf,min_perf,time
1,784471543,relu,1.2614205,1.160719395,44.644541
2,784471543,leaky_relu,1.321372545,1.168431807,42.676177
0,1071934284,linear,1.311642039,1.240419602,51.960172
1,1071934284,relu,1.244017088,1.086903191,50.459657
2,1071934284,leaky_relu,1.207300651,1.116754961,49.088102
0,2695088163,linear,1.207199955,1.118178463,48.758214
1,2695088163,relu,1.245824242,1.133462965,53.04282
2,2695088163,leaky_relu,1.205116844,1.09178673,49.24005
0,1602924733,linear,1.354089177,1.249875069,42.313296
1,1602924733,relu,1.258744359,1.136094606,50.432666
2,1602924733,leaky_relu,1.315855885,1.14224937,45.593233
0,769630950,linear,1.227928901,1.126558983,47.248698
1,769630950,relu,1.227928901,1.126558995,47.345666
2,769630950,leaky_relu,1.227928901,1.126558995,47.227706
0,1030330030,linear,1.190807652,1.073755372,48.762207
1,1030330030,relu,1.141030371,1.056004655,49.677919
2,1030330030,leaky_relu,1.224308085,1.153170061,43.511919
0,360180176,linear,1.31538794,1.19834981,48.597261
1,360180176,relu,1.26309613,1.13908267,48.774202
2,360180176,leaky_relu,1.24041456,1.116747963,54.646301
0,845664219,linear,1.285705042,1.188024867,49.619929
1,845664219,relu,1.258914483,1.122317994,48.061435
2,845664219,leaky_relu,1.281761765,1.17914201,47.082751
0,3262398734,linear,1.285618055,1.1802755,47.48662
1,3262398734,relu,1.224251556,1.124912584,46.442959
2,3262398734,leaky_relu,1.288838983,1.17080797,43.564891
0,1575099683,linear,1.279980588,1.174473536,49.856851
1,1575099683,relu,1.440077662,1.300436747,44.704519
